Date,precipitation,NINO,AMO,IOD,Zonalwind,EPTW
5/31/1986,-1.595941808,-0.53,0.640920232,0.731452653,1.003038996,0.906456864
6/30/1986,2.091894639,-0.31,-0.448123089,0.175243865,1.37917862,-2.071901404
7/31/1986,0.462330439,-0.11,0.557548495,-0.2476272,-0.104483229,-1.467596828
8/31/1986,0.355862588,0.32,-0.432490888,-0.384774573,-1.358281974,-0.561139964
9/30/1986,-0.045644329,0.53,-0.156322008,-0.380964924,-0.083586583,-1.467596828
10/31/1986,-0.464731795,0.81,1.089043321,1.013366697,0.313449686,0.302152288
11/30/1986,-0.966486472,1.01,1.05777892,-0.327629834,0.250759749,0.345316901
12/31/1986,0.672287725,1.12,0.401226487,-0.708594758,-0.271656395,0.733798414
1/31/1987,0.472322817,1.14,-0.338697684,-1.920063215,1.274695391,-3.237345944
2/28/1987,-0.410624659,1.13,0.875403244,1.39814127,-3.301670029,-0.388481513
3/31/1987,0.735596286,0.98,1.808124557,-1.516240396,0,2.50354753
4/30/1987,-0.570171584,0.58,2.037396835,-1.588623732,0.564209435,1.683419891
5/31/1987,0.893830372,0.62,0.083371738,-0.9981281,0.417932915,1.251773765
6/30/1987,-0.366538404,0.92,0.703449035,-1.931492163,0.167173166,-0.17265845
7/31/1987,-1.55965799,1.29,-0.448123089,-2.590561481,-0.417932915,0.474810738
8/31/1987,-0.492796054,1.57,-0.786820773,-0.788597392,1.420971911,-0.258987676
9/30/1987,-2.886290035,1.65,-0.6669739,-0.69716581,-1.128418871,0.043164613
10/31/1987,-0.229153604,1.24,0.323065483,-0.342868431,1.044832288,0.431646126
11/30/1987,-0.160432109,1.07,0.760767105,-2.918191315,0.814969184,0.258987676
12/31/1987,-0.743365084,0.94,-0.343908417,-1.481953553,1.128418871,1.942407566
1/31/1988,-0.472471876,0.9,1.026514518,-2.29721849,1.37917862,0.258987676
2/29/1988,4.174032197,0.28,1.412108804,-0.937173712,-1.044832288,0.086329225
3/31/1988,-0.900069691,0.1,0.145900541,-0.25143685,2.026974638,1.640255278
4/30/1988,-0.681500302,-0.44,-0.375172819,-2.182929012,1.859801472,1.251773765
5/31/1988,-0.778726305,-1.25,0.713870502,-1.230516703,1.295592037,0.388481513
6/30/1988,-0.502927567,-1.74,-0.213640077,-1.786725492,0.229863103,-0.604304576
7/31/1988,-0.553203646,-1.74,-0.792031506,-0.994318451,1.086625579,-1.899242954
8/31/1988,-0.091550248,-1.19,-0.364751352,-0.217150006,-0.480622852,0.129493838
9/30/1988,-0.708045448,-1,0.239693745,-2.236264102,0.856762476,1.553926053
10/31/1988,0.15575284,-1.9,0.745134904,-1.19622986,-0.104483229,-0.258987676
11/30/1988,-0.514858954,-2.05,0.354329884,-1.69529391,-0.125379875,-1.640255278
12/31/1988,0.982618603,-1.96,-0.218850811,-1.116227226,1.170212162,-1.553926053
1/31/1989,-0.112268899,-1.97,1.109886255,-1.116227226,-0.14627652,-0.820127639
2/28/1989,-0.431559165,-1.47,1.026514518,-3.306775537,-3.092703572,-0.129493838
3/31/1989,1.513060919,-1.21,-0.114636139,-1.725771104,-0.376139624,1.812913729
4/30/1989,0.076595256,-1.08,0.323065483,-2.175309714,0.68958931,0.258987676
5/31/1989,-0.117328769,-0.88,-1.901917762,-0.891457921,2.21504445,-0.733798414
6/30/1989,-1.11827042,-0.59,-0.917089113,-1.417189516,-1.191108808,-1.640255278
7/31/1989,-1.199960567,-0.57,-0.140689807,-1.84767988,0.501519498,-0.043164613
8/31/1989,0.139737521,-0.53,-1.792492356,-0.704785109,1.943388055,0.258987676
9/30/1989,-1.154848842,-0.3,-1.193257993,-1.333377233,0.98214235,-0.647469189
10/31/1989,0.266461717,-0.4,-0.729502703,-1.908634267,-0.104483229,-0.776963027
11/30/1989,-0.770899751,-0.45,-1.297472665,-0.643830721,-1.003038996,-1.079115315
12/31/1989,1.587207445,-0.13,-1.307894132,-1.851489529,-0.585106081,-1.726584504
1/31/1990,0.174712489,0.01,-1.349580001,-1.150514069,-0.188069812,-0.043164613
2/28/1990,-0.014962492,0.21,-1.099464788,-0.518112296,-0.480622852,-1.035950702
3/31/1990,-0.121707984,0.04,-1.662224016,-0.655259669,0.438829561,1.079115315
4/30/1990,0.548682035,0.08,-0.60965583,-2.621038675,0.564209435,-2.028736792
5/31/1990,-0.188938727,0.08,-0.521073359,-0.114289477,-3.009116989,0.820127639
6/30/1990,0.11278258,-0.08,-1.828967491,-0.175243865,-0.041793292,1.856078341
7/31/1990,0.093553274,0.09,-0.917089113,0.514302647,0,1.942407566
8/31/1990,-0.323064326,0.22,-0.312644016,-0.445728961,-0.334346332,1.079115315
9/30/1990,-0.261658266,0.22,-2.110347105,0.209530708,0.062689937,-0.215823063
10/31/1990,0.043756651,0.21,-1.432951738,-0.628592124,-0.501519498,-0.258987676
11/30/1990,-0.26000353,0.1,-1.271418997,-0.74669125,0.438829561,-0.733798414
12/31/1990,0.379884329,0.35,-2.40735892,-1.573385135,-0.334346332,-0.431646126
1/31/1991,-0.362048996,0.49,-1.047357452,-2.274360594,0.626899373,0.776963027
2/28/1991,-0.106376502,0.32,-1.630959615,-0.106670179,0.397036269,0.776963027
3/31/1991,-0.030804427,0.03,0.541916294,-1.367664076,1.52545514,1.424432215
4/30/1991,0.189514384,0.19,0.375172819,0.160005268,0.271656395,0.733798414
5/31/1991,0.186184737,0.26,-0.515862626,-1.371473725,-0.564209435,0.561139964
6/30/1991,0.173753679,0.52,-0.547127027,-1.379093024,1.880698118,1.510761441
7/31/1991,0.081097732,0.76,-0.937932047,-1.954350058,0.647796018,0.474810738
8/31/1991,-0.318764455,0.68,0.317854749,-1.272422845,1.044832288,1.510761441
9/30/1991,0.082965125,0.42,1.172415059,-2.209596557,-0.104483229,-0.215823063
10/31/1991,-0.195168553,0.86,0.792031506,-0.35048773,-1.065728933,-0.604304576
11/30/1991,-0.215848347,1.2,-1.016093051,-0.956221958,-1.149315516,0.17265845
12/31/1991,0.151772588,1.69,-0.729502703,-0.209530708,-0.438829561,0.258987676
1/31/1992,-0.419327175,1.84,0.729502703,-1.481953553,0.522416144,0.043164613
2/29/1992,-0.431559165,1.78,0.411647954,-0.880028974,-0.250759749,-1.424432215
3/31/1992,-0.624966821,1.38,0.755556371,-0.826693884,0.731382601,0.517975351
4/30/1992,1.142170131,1.2,0.375172819,0.79621669,-0.814969184,-0.949621477
5/31/1992,-1.048921289,1.04,-1.047357452,-0.853361429,-1.337385328,-0.345316901
6/30/1992,-1.061951734,0.58,0.458544556,-2.358172877,0.940349059,1.294938378
7/31/1992,-0.96831077,0.22,0.995250116,-1.135275472,0.564209435,0.17265845
8/31/1992,-0.299301884,0.05,0.46375529,-0.944793011,0.376139624,-1.208609152
9/30/1992,-0.524287928,-0.06,1.620538148,0.940983361,-1.337385328,-1.553926053
10/31/1992,0.511051096,-0.3,1.782070889,0.342868431,1.316488682,0.561139964
11/30/1992,0.95974638,-0.28,0.958774981,-0.053335089,1.37917862,0.129493838
12/31/1992,-0.390997354,-0.15,-0.693027568,0.110479828,0.14627652,-0.043164613
1/31/1993,-0.431137108,0.14,-0.177164942,-0.590495632,-0.961245705,-0.604304576
2/28/1993,-0.291995791,0.41,0.802452973,0.674307915,-0.940349059,-0.345316901
3/31/1993,1.572865891,0.39,-0.208429344,-2.110545677,-1.274695391,-0.345316901
4/30/1993,0.837341498,0.59,-0.041685869,0.803835989,-0.522416144,-0.517975351
5/31/1993,1.616560513,0.78,0.917089113,0.304771939,-0.020896646,-0.474810738
6/30/1993,-0.482848732,0.35,0.92751058,1.085750032,0.480622852,0.129493838
7/31/1993,0.256290167,0.23,0.458544556,-1.032414943,-0.125379875,-1.812913729
8/31/1993,-1.394637305,0.13,0.171954209,-0.582876333,-0.814969184,0.863292252
9/30/1993,0.29148725,0.35,0.453333823,-0.080002634,0.522416144,1.208609152
10/31/1993,0.459558595,0.06,-0.59402363,-2.148642169,0.271656395,1.122279927
11/30/1993,-0.27600608,0,0.937932047,-0.891457921,0.397036269,0.129493838
12/31/1993,-0.675364294,0.16,0.552337761,-2.022923745,-0.564209435,-0.690633801
1/31/1994,-0.37208744,0.1,1.078621854,-0.163814917,0.794072539,-0.086329225
2/28/1994,0.203454189,0.06,0.369962085,-0.304771939,0.668692664,0.517975351
3/31/1994,-0.777469499,0.11,0.73992417,2.072449185,0,0.258987676
4/30/1994,-0.686801669,0.26,0.807663707,1.504811448,-0.104483229,-0.302152288
5/31/1994,-0.201868303,0.31,0.052107336,-2.636277272,-0.14627652,0.129493838
6/30/1994,0.747592109,0.32,-0.979617916,-1.702913209,0.564209435,0.776963027
7/31/1994,1.001294539,0.24,-0.005210734,-0.620972826,-0.334346332,0.215823063
8/31/1994,2.470719926,0.53,0.396015753,-0.278104394,0.355242978,1.467596828
