Date,precipitation,Standardized_Anomaly
1986-04-30,15.6,-0.7239112421405665
1986-05-31,5.6000000000000005,-1.5959418076329526
1986-06-30,347.5,2.091894638697846
1986-07-31,447.5,0.46233043850257355
1986-08-31,444.6,0.35586258822100963
1986-09-30,192.6,-0.04564432875295958
1986-10-31,46.8,-0.4647317947976495
1986-11-30,0.0,-0.966486471553227
1986-12-31,22.9,0.6722877254982468
1987-01-31,16.1,0.472322816842864
1987-02-28,0.3,-0.4106246590799465
1987-03-31,58.3,0.7355962862864427
1987-04-30,21.4,-0.570171583565811
1987-05-31,155.79999999999998,0.8938303723717702
1987-06-30,146.70000000000002,-0.36653840368545837
1987-07-31,273.8,-1.5596579901489065
1987-08-31,369.6,-0.4927960544404671
1987-09-30,56.1,-2.8862900345164655
1987-10-31,65.1,-0.22915360359838235
